Header
rate=30
frames=118
duration=3.9
type=degree
Body
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD
0,0,0,2,0,-30,51,39,-64,11,35,2,-43,0,47,0,0
0.033,1,0,2,0,-30,51,39,-64,11,35,2,-43,0,47,0,0
0.066,2,0,2,0,-30,51,39,-64,11,35,2,-43,0,47,0,0
0.099,3,0,1,0,-30,52,41,-77,6,50,4,-44,0,43,1,0
0.132,4,0,1,0,-30,52,42,-90,1,65,5,-45,0,39,1,0
0.165,5,0,1,0,-30,52,42,-90,1,65,5,-45,0,39,1,0
0.198,6,0,1,0,-30,53,43,-90,0,79,8,-47,-1,32,2,0
0.231,7,0,1,0,-30,53,43,-90,0,79,8,-47,-1,32,2,0
0.264,8,0,1,0,-30,54,40,-90,0,90,11,-49,-2,25,3,0
0.297,9,0,1,0,-30,54,40,-90,0,90,11,-49,-2,25,3,0
0.33,10,0,1,0,-30,54,40,-90,0,90,11,-49,-2,25,3,0
0.363,11,0,1,0,-29,55,40,-90,1,90,14,-51,-3,16,4,0
0.396,12,0,1,0,-29,56,40,-90,2,90,17,-53,-3,7,5,0
0.429,13,0,1,0,-29,56,40,-90,2,90,17,-53,-3,7,5,0
0.462,14,0,2,0,-27,56,37,-90,0,90,20,-55,-4,-1,7,0
0.495,15,0,2,0,-27,56,37,-90,0,90,20,-55,-4,-1,7,0
0.528,16,0,4,0,-24,56,34,-90,-12,90,24,-57,-4,-10,8,0
0.561,17,0,4,0,-24,56,34,-90,-12,90,24,-57,-4,-10,8,0
0.594,18,0,5,0,-21,56,31,-90,-29,90,27,-59,-5,-19,9,0
0.627,19,0,5,0,-19,56,30,-87,-30,90,29,-59,-5,-23,9,0
0.66,20,0,5,0,-19,56,30,-87,-30,90,29,-59,-5,-23,9,0
0.693,21,0,5,0,-19,56,30,-87,-30,90,29,-59,-5,-23,9,0
0.726,22,0,5,0,-14,55,15,-70,-30,90,33,-61,-6,-33,11,0
0.759,23,0,5,0,-12,54,11,-64,-30,87,35,-61,-6,-36,11,0
0.792,24,0,5,0,-9,53,4,-58,-30,75,36,-62,-7,-38,12,0
0.825,25,0,4,0,-7,52,-6,-53,-30,60,37,-62,-7,-40,12,0
0.858,26,0,4,0,-5,51,-14,-49,-30,42,39,-62,-7,-41,13,0
0.891,27,0,4,0,-3,50,-12,-47,-30,25,40,-62,-7,-42,13,0
0.924,28,0,4,0,-1,48,-10,-47,-30,17,41,-62,-7,-43,14,0
0.957,29,0,4,0,0,48,-8,-49,-30,21,42,-63,-7,-42,14,0
0.99,30,0,4,0,0,48,-8,-49,-30,21,42,-63,-7,-42,14,0
1.023,31,0,4,0,2,52,-4,-52,-30,29,45,-70,-7,-40,15,0
1.056,32,0,4,0,2,52,-4,-52,-30,29,45,-70,-7,-40,15,0
1.089,33,0,4,0,2,52,-4,-52,-30,29,45,-70,-7,-40,15,0
1.122,34,0,3,0,3,61,0,-55,-30,34,45,-80,-6,-35,16,0
1.155,35,0,3,0,3,70,4,-58,-30,39,45,-90,-5,-30,17,0
1.188,36,0,3,0,3,70,4,-58,-30,39,45,-90,-5,-30,17,0
